INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=533.0526315789474, max_probability=10.0, grid_size=45, Variance: 24618.595670207527
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=581.421052631579, max_probability=0.01, grid_size=45, Variance: 4.270178642806001e+31
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=581.421052631579, max_probability=2.5075, grid_size=45, Variance: 8.872193593205146e+30
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=581.421052631579, max_probability=5.005, grid_size=45, Variance: 630.5318977950398
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=581.421052631579, max_probability=7.5024999999999995, grid_size=45, Variance: 1.131536452141781e+28
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=581.421052631579, max_probability=10.0, grid_size=45, Variance: 11463.216632023154
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=629.7894736842105, max_probability=0.01, grid_size=45, Variance: 4297.5777470761905
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=629.7894736842105, max_probability=2.5075, grid_size=45, Variance: 4.5919436751342656e+27
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=629.7894736842105, max_probability=5.005, grid_size=45, Variance: 755.5562972427538
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=629.7894736842105, max_probability=7.5024999999999995, grid_size=45, Variance: 224.12565855939596
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=629.7894736842105, max_probability=10.0, grid_size=45, Variance: 886.2978440034677
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=678.1578947368422, max_probability=0.01, grid_size=45, Variance: 1419.527039861676
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=678.1578947368422, max_probability=2.5075, grid_size=45, Variance: 1346.2507472525658
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=678.1578947368422, max_probability=5.005, grid_size=45, Variance: 446.5322657176899
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=678.1578947368422, max_probability=7.5024999999999995, grid_size=45, Variance: 1153.9147476216922
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=678.1578947368422, max_probability=10.0, grid_size=45, Variance: 6.80969330701111e+29
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=726.5263157894738, max_probability=0.01, grid_size=45, Variance: 120.88364741626063
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=726.5263157894738, max_probability=2.5075, grid_size=45, Variance: 406.58749532210607
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=726.5263157894738, max_probability=5.005, grid_size=45, Variance: 203.2380610115173
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=726.5263157894738, max_probability=7.5024999999999995, grid_size=45, Variance: 32134.763308025842
