INFO:root:Parameters: birth_rate=0.7 a=187.75, m=6.6674444444444445 c=17.0, init_mode=random, grid_size=45, Variance: 12873.987443381347
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=6.6674444444444445 c=25.0, init_mode=random, grid_size=45, Variance: 3.270405512843504e+30
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=10.000666666666666 c=1.0, init_mode=random, grid_size=45, Variance: 94.77690640010482
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=10.000666666666666 c=9.0, init_mode=random, grid_size=45, Variance: 445.86297441175026
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=10.000666666666666 c=17.0, init_mode=random, grid_size=45, Variance: 1275.3821410301855
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=10.000666666666666 c=25.0, init_mode=random, grid_size=45, Variance: 373.55457189937124
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=13.333888888888888 c=1.0, init_mode=random, grid_size=45, Variance: 818.9986644159279
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=13.333888888888888 c=9.0, init_mode=random, grid_size=45, Variance: 1396.739389293035
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=13.333888888888888 c=17.0, init_mode=random, grid_size=45, Variance: 2.2251431328762024e+30
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=13.333888888888888 c=25.0, init_mode=random, grid_size=45, Variance: 3.462597610379648e+29
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=16.66711111111111 c=1.0, init_mode=random, grid_size=45, Variance: 163.70745958230452
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=16.66711111111111 c=9.0, init_mode=random, grid_size=45, Variance: 124.2745223815702
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=16.66711111111111 c=17.0, init_mode=random, grid_size=45, Variance: 12239.124311751915
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=16.66711111111111 c=25.0, init_mode=random, grid_size=45, Variance: 2989.615879406917
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=20.000333333333334 c=1.0, init_mode=random, grid_size=45, Variance: 326.266697687983
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=20.000333333333334 c=9.0, init_mode=random, grid_size=45, Variance: 2598.286432076594
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=20.000333333333334 c=17.0, init_mode=random, grid_size=45, Variance: 385.42687742894276
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=20.000333333333334 c=25.0, init_mode=random, grid_size=45, Variance: 234.54270288211166
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=23.333555555555556 c=1.0, init_mode=random, grid_size=45, Variance: 644.8096897837993
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=23.333555555555556 c=9.0, init_mode=random, grid_size=45, Variance: 2.54200815672179e+28
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=23.333555555555556 c=17.0, init_mode=random, grid_size=45, Variance: 1051.8908873581836
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=23.333555555555556 c=25.0, init_mode=random, grid_size=45, Variance: 1096.8678801355434
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=26.666777777777778 c=1.0, init_mode=random, grid_size=45, Variance: 42178.84049929928
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=26.666777777777778 c=9.0, init_mode=random, grid_size=45, Variance: 683.1824972444992
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=26.666777777777778 c=17.0, init_mode=random, grid_size=45, Variance: 7.895063790418272e+29
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=26.666777777777778 c=25.0, init_mode=random, grid_size=45, Variance: 23976.526543954977
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=30.0 c=1.0, init_mode=random, grid_size=45, Variance: 215.523497143481
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=30.0 c=9.0, init_mode=random, grid_size=45, Variance: 1.5045402778088998e+30
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=30.0 c=17.0, init_mode=random, grid_size=45, Variance: 7.8677966941247735e+28
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=30.0 c=25.0, init_mode=random, grid_size=45, Variance: 545.0351600665911
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=0.001 c=1.0, init_mode=random, grid_size=45, Variance: 5667.9794627212605
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=0.001 c=9.0, init_mode=random, grid_size=45, Variance: 206.95269279429306
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=0.001 c=17.0, init_mode=random, grid_size=45, Variance: 2.037190162884231e+28
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=0.001 c=25.0, init_mode=random, grid_size=45, Variance: 7.901341781357167e+29
INFO:root:Parameters: birth_rate=0.7 a=250.0, m=3.334222222222222 c=1.0, init_mode=random, grid_size=45, Variance: 3430.0455880834456
